episode,cumulativeReward,course,flag_get
263,455.0,2-1,False
264,386.0,2-1,False
265,92.0,8-1,False
266,167.0,6-4,False
267,319.0,7-4,False
268,285.0,6-1,False
269,355.0,1-3,False
270,168.0,6-4,False
271,329.0,4-3,False
272,661.0,3-1,False
273,303.0,4-3,False
274,119.0,1-2,False
275,199.0,4-2,False
276,172.0,1-4,False
277,421.0,7-2,False
278,276.0,3-2,False
279,214.0,3-4,False
280,147.0,8-1,False
281,231.0,1-1,False
282,227.0,3-3,False
283,243.0,5-4,False
284,243.0,5-4,False
285,252.0,7-2,False
286,334.0,4-1,False
287,227.0,3-3,False
288,171.0,6-4,False
289,483.0,7-3,False
290,75.0,4-4,False
291,663.0,3-1,False
292,303.0,4-3,False
293,116.0,7-3,False
294,171.0,6-4,False
295,418.0,7-2,False
296,288.0,6-1,False
297,136.0,3-2,False
298,288.0,6-1,False
299,303.0,4-3,False
300,732.0,2-2,False
301,260.0,8-1,False
302,270.0,3-1,False
303,169.0,6-4,False
304,147.0,4-2,False
305,148.0,4-2,False
306,228.0,5-4,False
307,231.0,1-1,False
308,210.0,4-2,False
309,630.0,1-1,False
310,213.0,3-4,False
311,563.0,1-2,False
312,79.0,4-4,False
313,350.0,6-2,False
314,527.0,6-2,False
315,370.0,2-1,False
316,376.0,4-1,False
317,185.0,8-2,False
318,75.0,4-4,False
319,140.0,4-2,False
320,227.0,3-3,False
321,385.0,8-1,False
322,227.0,6-3,False
323,279.0,6-1,False
324,318.0,4-3,False
325,85.0,8-4,False
326,453.0,3-1,False
327,123.0,5-1,False
328,421.0,4-1,False
329,1236.0,2-3,False
330,318.0,4-3,False
331,987.0,2-3,False
332,1329.0,2-2,False
333,72.0,4-4,False
334,213.0,3-4,False
335,9.0,6-2,False
336,325.0,7-1,False
337,75.0,4-4,False
338,357.0,5-2,False
339,85.0,8-4,False
340,253.0,7-4,False
341,274.0,8-2,False
342,303.0,2-4,False
343,1758.0,3-2,False
344,225.0,1-3,False
345,314.0,8-1,False
346,210.0,4-2,False
347,273.0,6-1,False
348,379.0,6-3,False
349,137.0,4-4,False
350,757.0,8-3,False
351,197.0,8-3,False
352,500.0,7-3,False
353,691.0,2-2,False
354,139.0,4-2,False
355,278.0,3-2,False
356,1008.0,2-2,False
357,273.0,5-2,False
358,136.0,4-2,False
359,249.0,1-1,False
360,165.0,1-4,False
361,272.0,8-1,False
362,287.0,6-1,False
363,380.0,2-1,False
364,248.0,3-3,False
365,1002.0,2-3,False
366,553.0,1-2,False
367,327.0,6-3,False
368,363.0,8-3,False
369,364.0,7-1,False
370,130.0,5-1,False
371,390.0,3-3,False
372,335.0,4-3,False
373,366.0,4-1,False
374,249.0,1-3,False
375,1084.0,7-2,False
376,202.0,4-2,False
377,284.0,3-1,False
378,157.0,8-2,False
379,187.0,5-4,False
380,172.0,6-4,False
381,328.0,6-3,False
382,373.0,4-1,False
383,491.0,7-1,False
384,76.0,4-4,False
385,282.0,6-1,False
386,138.0,4-4,False
387,864.0,5-2,False
388,165.0,6-4,False
389,999.0,2-3,False
390,251.0,3-3,False
391,76.0,4-4,False
392,327.0,5-3,False
393,84.0,8-4,False
394,185.0,2-4,False
395,1040.0,1-1,False
396,119.0,8-4,False
397,170.0,6-4,False
398,221.0,1-1,False
399,240.0,1-1,False
400,388.0,5-2,False
401,133.0,3-2,False
402,266.0,5-4,False
403,76.0,4-4,False
404,164.0,6-4,False
405,169.0,1-4,False
406,132.0,5-1,False
407,313.0,6-2,False
408,748.0,1-1,False
409,333.0,6-2,False
410,240.0,2-1,False
411,259.0,8-1,False
412,123.0,5-1,False
413,136.0,8-2,False
414,150.0,4-2,False
415,123.0,5-1,False
416,497.0,6-2,False
417,225.0,6-3,False
418,382.0,5-2,False
419,135.0,8-2,False
420,227.0,6-3,False
421,188.0,8-2,False
422,243.0,7-4,False
423,227.0,1-3,False
424,123.0,5-1,False
425,483.0,6-1,False
426,311.0,2-4,False
427,75.0,4-4,False
428,305.0,7-1,False
429,476.0,6-2,False
430,239.0,2-4,False
431,226.0,2-2,False
432,331.0,7-4,False
433,139.0,8-2,False
434,168.0,1-4,False
435,358.0,4-1,False
436,166.0,1-4,False
437,210.0,3-4,False
438,227.0,5-3,False
439,289.0,6-2,False
440,251.0,5-4,False
441,291.0,3-4,False
442,530.0,2-1,False
443,288.0,6-1,False
444,381.0,5-2,False
445,666.0,3-1,False
446,309.0,7-3,False
447,355.0,7-4,False
448,477.0,7-1,False
449,630.0,1-1,False
450,574.0,6-1,False
451,262.0,6-4,False
452,225.0,5-3,False
453,2534.0,6-1,False
