episode,total_reward,x_pos,time,flag_get,loss,epsilon,steps,truncated,stuck,course,time
62,77.0,138,395,False,5.349048137664795,0.9393050000000001,105,False,False,4-4,2025-12-11 18:55:57.832247
63,263.0,341,378,False,2.8394742012023926,0.93831,454,False,False,8-2,2025-12-11 18:56:02.125015
64,276.0,342,389,False,2.717820644378662,0.937315,234,False,False,8-2,2025-12-11 18:56:04.323967
65,610.0,778,290,False,2.8772640228271484,0.93632,2259,False,False,3-1,2025-12-11 18:56:25.777233
66,312.0,380,289,False,2.0293033123016357,0.935325,220,False,False,2-4,2025-12-11 18:56:27.807155
67,3789.0,970,209,False,3.46738338470459,0.93433,3835,False,False,4-4,2025-12-11 18:57:05.492322
68,437.0,509,385,False,2.0457956790924072,0.933335,311,False,False,7-2,2025-12-11 18:57:07.711433
69,358.0,428,287,False,2.9327011108398438,0.93234,265,False,False,5-3,2025-12-11 18:57:09.521344
70,657.0,741,272,False,5.553514003753662,0.931345,564,False,False,8-1,2025-12-11 18:57:14.734551
71,211.0,275,292,False,2.32828950881958,0.93035,176,False,False,1-3,2025-12-11 18:57:16.345420
72,134.0,196,393,False,2.806936740875244,0.929355,148,False,False,4-4,2025-12-11 18:57:17.374039
73,388.0,463,381,False,2.418121814727783,0.92836,389,False,False,1-2,2025-12-11 18:57:22.405370
74,386.0,459,384,False,3.6017770767211914,0.927365,321,False,False,4-1,2025-12-11 18:57:24.686508
75,383.0,454,285,False,2.2289676666259766,0.92637,309,False,False,1-4,2025-12-11 18:57:27.560474
76,163.0,230,390,False,3.197812557220459,0.9253750000000001,199,False,False,5-2,2025-12-11 18:57:29.704129
77,281.0,349,288,False,2.221543550491333,0.92438,257,False,False,5-4,2025-12-11 18:57:32.130337
78,580.0,666,370,False,1.135490894317627,0.923385,605,False,False,1-1,2025-12-11 18:57:36.465723
79,1549.0,1670,336,False,2.2155470848083496,0.92239,1285,False,False,5-2,2025-12-11 18:57:48.639290
80,202.0,266,293,False,2.195369005203247,0.921395,149,False,False,3-4,2025-12-11 18:57:49.690858
81,357.0,434,378,False,3.266179323196411,0.9204,449,False,False,6-2,2025-12-11 18:57:53.962777
82,955.0,1065,247,False,1.5061992406845093,0.919405,1061,False,False,8-1,2025-12-11 18:58:03.815991
83,354.0,429,283,False,2.258833408355713,0.91841,351,False,False,6-4,2025-12-11 18:58:07.260723
84,479.0,553,383,False,1.994813323020935,0.917415,355,False,False,7-2,2025-12-11 18:58:11.530308
85,275.0,349,383,False,1.9551013708114624,0.91642,345,False,False,7-1,2025-12-11 18:58:13.882658
86,969.0,1079,345,False,5.886661529541016,0.9154249999999999,1117,False,False,5-2,2025-12-11 18:58:23.041953
87,131.0,193,395,False,1.701632022857666,0.91443,109,False,False,8-2,2025-12-11 18:58:23.808134
88,699.0,783,273,False,4.342466831207275,0.913435,551,False,False,7-3,2025-12-11 18:58:30.373667
89,710.0,792,276,False,2.087007999420166,0.91244,481,False,False,7-3,2025-12-11 18:58:42.741419
90,135.0,199,392,False,4.912628173828125,0.9114450000000001,161,False,False,4-2,2025-12-11 18:58:45.381958
91,351.0,433,373,False,8.542437553405762,0.91045,547,False,False,7-1,2025-12-11 18:58:53.689853
92,300.0,368,389,False,7.5508623123168945,0.909455,221,False,False,6-2,2025-12-11 18:58:58.146654
93,353.0,423,287,False,20.58319664001465,0.90846,269,False,False,5-3,2025-12-11 18:59:00.096975
94,134.0,197,392,False,5.7577056884765625,0.907465,163,False,False,4-2,2025-12-11 18:59:04.127160
95,165.0,227,293,False,3.8212361335754395,0.90647,152,False,False,6-4,2025-12-11 18:59:05.296275
96,299.0,369,286,False,6.874564170837402,0.905475,291,False,False,4-3,2025-12-11 18:59:08.867249
97,445.0,520,382,False,4.268556594848633,0.90448,361,False,False,7-2,2025-12-11 18:59:14.358799
98,323.0,393,288,False,4.320438385009766,0.903485,244,False,False,6-3,2025-12-11 18:59:17.566202
99,634.0,722,367,False,4.332647323608398,0.90249,673,False,False,1-1,2025-12-11 18:59:25.378849
100,87.0,148,396,False,3.9732584953308105,0.9014949999999999,88,False,False,8-4,2025-12-11 18:59:26.005995
101,565.0,645,276,False,3.7113609313964844,0.9005,493,False,False,2-3,2025-12-11 18:59:31.455244
102,82.0,143,396,False,1.968937635421753,0.899505,90,False,False,8-4,2025-12-11 18:59:32.115451
103,150.0,217,288,False,5.703613758087158,0.89851,249,False,False,6-4,2025-12-11 18:59:33.893827
104,304.0,368,293,False,3.5684077739715576,0.8975150000000001,142,False,False,6-3,2025-12-11 18:59:34.927426
105,71.0,131,397,False,5.820866584777832,0.89652,77,False,False,8-4,2025-12-11 18:59:35.489659
106,247.0,312,293,False,4.891443252563477,0.895525,157,False,False,1-3,2025-12-11 18:59:36.963278
107,1169.0,1325,302,False,3.1638736724853516,0.89453,1973,False,False,1-2,2025-12-11 19:00:01.818481
108,387.0,460,283,False,4.380851745605469,0.893535,353,False,False,1-4,2025-12-11 19:00:04.456666
109,82.0,144,395,False,3.277723789215088,0.89254,99,False,False,8-4,2025-12-11 19:00:05.184883
110,76.0,137,396,False,2.530303478240967,0.891545,96,False,False,4-4,2025-12-11 19:00:07.346179
