episode,total_reward,x_pos,time,flag_get,loss,epsilon,steps,truncated,stuck,course,time
61,691.0,850,299,False,8.926815032958984,0.9403,2021,False,False,1-1,2025-12-10 22:04:24.909966
62,217.0,281,393,False,5.5836920738220215,0.9393050000000001,157,False,False,1-1,2025-12-10 22:04:25.929106
63,629.0,842,244,False,3.6883981227874756,0.93831,3135,False,False,1-1,2025-12-10 22:04:46.821012
64,443.0,898,0,False,2.9831528663635254,0.937315,8018,False,False,1-1,2025-12-10 22:05:44.658982
65,578.0,681,354,False,6.1098527908325195,0.93632,927,False,False,1-1,2025-12-10 22:05:51.264215
66,248.0,313,393,False,8.48737907409668,0.935325,155,False,False,1-1,2025-12-10 22:05:52.344865
67,209.0,276,389,False,4.451547145843506,0.93433,219,False,False,1-1,2025-12-10 22:05:54.128019
68,186.0,258,384,False,5.383171558380127,0.933335,319,False,False,1-1,2025-12-10 22:05:56.541681
69,228.0,293,392,False,10.32558822631836,0.93234,167,False,False,1-1,2025-12-10 22:05:57.666858
70,226.0,292,391,False,16.620065689086914,0.931345,181,False,False,1-1,2025-12-10 22:05:58.916642
71,651.0,898,208,False,6.389545440673828,0.93035,3857,False,False,1-1,2025-12-10 22:06:26.345605
72,213.0,278,391,False,3.413510322570801,0.929355,185,False,False,1-1,2025-12-10 22:06:27.630943
73,592.0,898,149,False,7.756079196929932,0.92836,5032,True,True,1-1,2025-12-10 22:07:04.470173
74,1268.0,1433,293,False,8.453460693359375,0.927365,2143,False,False,1-1,2025-12-10 22:07:18.948165
75,632.0,712,378,False,3.243394374847412,0.92637,439,False,False,1-1,2025-12-10 22:07:22.023845
76,852.0,1102,205,False,2.4662656784057617,0.9253750000000001,3913,False,False,1-1,2025-12-10 22:07:49.382921
77,635.0,722,368,False,6.879321575164795,0.92438,639,False,False,1-1,2025-12-10 22:07:53.666042
78,745.0,837,366,False,4.620428085327148,0.923385,697,False,False,1-1,2025-12-10 22:07:58.853966
79,618.0,698,377,False,2.7164292335510254,0.92239,469,False,False,1-1,2025-12-10 22:08:01.965680
80,229.0,294,391,False,7.0701470375061035,0.921395,195,False,False,1-1,2025-12-10 22:08:03.222109
81,618.0,711,364,False,10.858769416809082,0.9204,719,False,False,1-1,2025-12-10 22:08:08.063218
82,626.0,720,361,False,9.628875732421875,0.919405,787,False,False,1-1,2025-12-10 22:08:13.346301
83,621.0,697,380,False,27.001968383789062,0.91841,409,False,False,1-1,2025-12-10 22:08:16.074937
84,781.0,1149,90,False,14.49443244934082,0.917415,6214,False,False,1-1,2025-12-10 22:08:59.842479
85,1176.0,1413,220,False,6.644813060760498,0.91642,3602,False,False,1-1,2025-12-10 22:09:24.315283
86,784.0,898,341,False,7.875908851623535,0.9154249999999999,1193,False,False,1-1,2025-12-10 22:09:32.109648
87,775.0,1126,104,False,4.490633487701416,0.91443,5931,False,False,1-1,2025-12-10 22:10:11.065973
88,610.0,694,370,False,10.356351852416992,0.913435,603,False,False,1-1,2025-12-10 22:10:14.901216
89,567.0,804,219,False,13.452880859375,0.91244,3635,False,False,1-1,2025-12-10 22:10:39.519978
90,242.0,306,393,False,13.297222137451172,0.9114450000000001,149,False,False,1-1,2025-12-10 22:10:40.487098
91,196.0,265,389,False,8.597029685974121,0.91045,227,False,False,1-1,2025-12-10 22:10:41.940887
92,622.0,702,377,False,11.598626136779785,0.909455,461,False,False,1-1,2025-12-10 22:10:44.894739
93,232.0,297,392,False,6.576112747192383,0.90846,161,False,False,1-1,2025-12-10 22:10:45.939610
94,597.0,685,369,False,11.896020889282227,0.907465,621,False,False,1-1,2025-12-10 22:10:50.160166
95,620.0,722,353,False,16.348552703857422,0.90647,947,False,False,1-1,2025-12-10 22:10:57.198752
96,1295.0,1415,336,False,10.132205963134766,0.905475,1286,False,False,1-1,2025-12-10 22:11:06.495083
97,355.0,722,88,False,10.493348121643066,0.90448,6256,True,True,1-1,2025-12-10 22:11:51.068992
98,597.0,722,330,False,10.191339492797852,0.903485,1399,False,False,1-1,2025-12-10 22:12:00.928486
99,608.0,699,366,False,6.257719993591309,0.90249,697,False,False,1-1,2025-12-10 22:12:05.879525
100,237.0,302,393,False,6.435800552368164,0.9014949999999999,157,False,False,1-1,2025-12-10 22:12:06.978167
101,621.0,864,213,False,8.403360366821289,0.9005,3749,False,False,1-1,2025-12-10 22:12:33.599043
