episode,total_reward,x_pos,time,flag_get,loss,epsilon,steps,truncated,stuck,course,time
62,281.0,346,293,False,2.6772499084472656,0.9696525,152,False,False,5-4,2025-12-11 21:52:25.140569
63,655.0,768,344,False,4.153820991516113,0.969155,1251,False,False,3-1,2025-12-11 21:52:41.978798
64,193.0,302,347,False,3.8268232345581055,0.9686575,1061,False,False,6-2,2025-12-11 21:52:51.579620
65,235.0,304,288,False,2.526905059814453,0.96816,251,False,False,2-4,2025-12-11 21:52:54.458119
66,939.0,1132,263,False,3.808505058288574,0.9676625,2751,False,False,1-1,2025-12-11 21:53:28.805494
67,410.0,480,288,False,2.8509137630462646,0.967165,250,False,False,6-3,2025-12-11 21:53:31.985842
68,234.0,301,290,False,1.9334303140640259,0.9666675,201,False,False,2-4,2025-12-11 21:53:33.364524
69,245.0,311,292,False,3.4856667518615723,0.96617,169,False,False,3-3,2025-12-11 21:53:34.493779
70,212.0,274,293,False,2.5842559337615967,0.9656725,144,False,False,3-4,2025-12-11 21:53:36.541033
71,216.0,281,291,False,2.7597408294677734,0.965175,194,False,False,3-4,2025-12-11 21:53:38.268444
72,207.0,270,294,False,3.647249698638916,0.9646775,121,False,False,5-1,2025-12-11 21:53:39.335050
73,357.0,427,288,False,5.1228556632995605,0.96418,255,False,False,2-4,2025-12-11 21:53:44.397446
74,440.0,510,288,False,6.790637969970703,0.9636825,243,False,False,8-3,2025-12-11 21:53:47.066342
75,282.0,351,289,False,1.971542239189148,0.963185,235,False,False,2-3,2025-12-11 21:53:50.161503
76,666.0,834,187,False,4.380501747131348,0.9626875,2262,False,False,8-3,2025-12-11 21:54:25.611780
77,268.0,333,293,False,2.2586312294006348,0.96219,154,False,False,3-3,2025-12-11 21:54:27.697999
78,138.0,201,393,False,3.223623275756836,0.9616925,143,False,False,4-2,2025-12-11 21:54:29.789874
79,251.0,313,294,False,2.3933942317962646,0.961195,135,False,False,5-4,2025-12-11 21:54:31.470851
80,305.0,415,347,False,5.534239292144775,0.9606975,1069,False,False,6-2,2025-12-11 21:54:44.569803
81,353.0,434,374,False,3.7415575981140137,0.9601999999999999,525,False,False,6-2,2025-12-11 21:54:49.626417
82,435.0,500,290,False,3.159207582473755,0.9597025,216,False,False,2-4,2025-12-11 21:54:51.677324
83,290.0,367,279,False,2.5118565559387207,0.959205,431,False,False,4-3,2025-12-11 21:54:56.085272
84,1134.0,1234,355,False,6.154027462005615,0.9587075,909,False,False,2-2,2025-12-11 21:55:06.302617
85,117.0,180,294,False,3.0757558345794678,0.95821,133,False,False,3-2,2025-12-11 21:55:07.429801
86,117.0,179,294,False,3.7760212421417236,0.9577125,129,False,False,3-2,2025-12-11 21:55:08.399455
87,349.0,417,390,False,2.3949203491210938,0.957215,211,False,False,3-1,2025-12-11 21:55:11.891883
88,178.0,245,289,False,11.028133392333984,0.9567175,224,False,False,4-3,2025-12-11 21:55:13.360610
89,213.0,278,291,False,13.714855194091797,0.95622,189,False,False,1-3,2025-12-11 21:55:14.563254
90,636.0,723,369,False,4.778472423553467,0.9557225,621,False,False,5-2,2025-12-11 21:55:24.308783
91,379.0,446,291,False,7.944081783294678,0.955225,196,False,False,3-3,2025-12-11 21:55:27.843295
92,382.0,448,292,False,6.7515974044799805,0.9547275,178,False,False,1-4,2025-12-11 21:55:30.022913
93,245.0,310,292,False,5.32387638092041,0.95423,170,False,False,1-3,2025-12-11 21:55:31.582657
94,797.0,873,281,False,5.794816017150879,0.9537325,381,False,False,2-3,2025-12-11 21:55:35.994878
95,110.0,179,287,False,3.575251579284668,0.953235,261,False,False,2-3,2025-12-11 21:55:38.700274
96,178.0,241,392,False,5.428542137145996,0.9527375,164,False,False,8-2,2025-12-11 21:55:39.767031
97,219.0,318,356,False,5.480074882507324,0.95224,889,False,False,4-1,2025-12-11 21:55:49.940029
98,167.0,232,291,False,4.4402265548706055,0.9517425,194,False,False,1-4,2025-12-11 21:55:51.277501
99,285.0,352,390,False,4.876407146453857,0.951245,200,False,False,6-1,2025-12-11 21:55:53.823642
100,162.0,229,288,False,4.221035957336426,0.9507475,241,False,False,6-4,2025-12-11 21:55:55.870704
101,227.0,290,294,False,6.240595817565918,0.95025,132,False,False,3-3,2025-12-11 21:55:57.143571
102,116.0,177,396,False,2.7282555103302,0.9497525,97,False,False,1-2,2025-12-11 21:55:57.751075
